label,text
ham,"Hey are we still on for lunch tomorrow?"
ham,"Can you send me the notes from today's class?"
ham,"Happy birthday! Hope you have a great day."
ham,"Don't forget to bring your laptop charger."
ham,"I'll call you once I reach home."
ham,"The meeting has been moved to 3 PM."
ham,"Thanks for helping me move last weekend."
ham,"Let's catch up this weekend, it's been a while."
ham,"Your package has been delivered to your address."
ham,"Mom said dinner will be ready by 8."
ham,"Can we reschedule our call to Friday afternoon?"
ham,"The professor extended the assignment deadline by two days."
ham,"I left my umbrella at your place yesterday."
ham,"Great job on the presentation today!"
ham,"Let me know if you need help with the project."
ham,"Traffic is bad, I'll be about 15 minutes late."
ham,"Can you pick up milk on your way home?"
ham,"The wifi password is on the fridge."
ham,"See you at the gym at 6."
ham,"Thanks again for the ride yesterday."
spam,"WINNER!! You have been selected to receive a FREE cash prize of $1000. Call now!"
spam,"URGENT: Your account has been suspended. Click here to verify immediately."
spam,"Congratulations! You've won a free iPhone. Claim your prize now!"
spam,"Limited time offer! Get 90% off on all products. Click the link now."
spam,"You have 1 new voicemail. Call this premium number to listen."
spam,"FREE entry into our $5000 prize draw, text WIN to 80086 now!"
spam,"Your loan of $10000 has been approved. Reply YES to claim."
spam,"Congratulations, you have been chosen for a cash reward, claim now!!!"
spam,"Get rich quick! Invest now and double your money in 7 days."
spam,"Click this link to claim your free gift card worth $500."
spam,"Act now! Your subscription is about to expire, renew with 70% discount."
spam,"You've been selected for an exclusive cashback offer, claim today."
spam,"Final notice: pay your pending bill now to avoid service suspension."
spam,"Free vacation package waiting for you, click to redeem."
spam,"Your bank account needs verification, click the secure link below."
spam,"Text STOP to unsubscribe or WIN to enter our lucky draw."
spam,"Exclusive deal just for you, 100% free trial, no card needed."
spam,"You have been chosen to test our new product for free, reply now."
spam,"Cash prize alert! You are eligible to withdraw $2000 today."
spam,"Hot singles in your area want to chat with you now!"
